year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1983,NL,Newfoundland and Labrador,18.1,180.8,53.3,29.7,14.3
1983,NS,Nova Scotia,13.4,324.8,57.7,21.8,11.1
1983,ON,Ontario,10.4,4249.0,67.6,17.3,8.4
1983,PE,Prince Edward Island,12.2,48.8,60.0,19.9,10.4
1983,QC,Quebec,14.2,2683.8,61.1,22.3,11.9
1983,SK,Saskatchewan,7.7,436.9,64.9,14.1,5.9
1984,AB,Alberta,11.3,1138.1,72.2,15.7,10.1
1984,BC,British Columbia,15.0,1245.1,64.3,22.8,13.1
1984,CA,Canada,11.3,11301.7,65.0,17.4,9.8
1984,MB,Manitoba,8.6,479.1,65.8,13.6,7.1
1984,NB,New Brunswick,14.6,255.2,55.6,22.8,12.7
1984,NL,Newfoundland and Labrador,20.1,179.0,53.5,32.4,16.3
1984,NS,Nova Scotia,13.0,339.9,59.2,20.9,10.9
1984,ON,Ontario,9.0,4410.2,67.8,14.3,7.5
1984,PE,Prince Edward Island,12.5,49.5,60.1,19.3,10.4
1984,QC,Quebec,13.1,2762.5,61.7,19.5,11.5
1984,SK,Saskatchewan,8.1,443.2,65.2,14.5,6.4
1985,AB,Alberta,9.8,1173.8,72.6,14.1,8.5
1985,BC,British Columbia,14.3,1279.7,64.7,20.9,12.6
1985,CA,Canada,10.5,11658.0,65.6,15.8,9.1
1985,MB,Manitoba,8.3,486.9,65.9,13.4,6.7
1985,NB,New Brunswick,15.2,262.0,56.9,22.9,13.3
1985,NL,Newfoundland and Labrador,20.2,182.5,54.2,31.3,16.9
1985,NS,Nova Scotia,13.4,343.7,59.4,21.4,11.4
1985,ON,Ontario,7.9,4576.6,68.4,12.5,6.6
1985,PE,Prince Edward Island,13.5,50.7,61.5,20.0,11.7
1985,QC,Quebec,12.2,2848.6,62.4,17.5,10.7
1985,SK,Saskatchewan,8.1,453.6,66.1,13.6,6.8
1986,AB,Alberta,9.9,1184.5,72.6,14.5,8.7
1986,BC,British Columbia,12.7,1331.8,65.4,18.9,11.2
1986,CA,Canada,9.6,12008.5,66.1,14.7,8.3
1986,MB,Manitoba,7.6,500.7,66.7,11.6,6.6
1986,NB,New Brunswick,14.4,271.0,57.8,22.6,12.4
1986,NL,Newfoundland and Labrador,18.8,187.1,54.3,29.4,15.8
1986,NS,Nova Scotia,13.3,350.5,59.9,20.5,11.5
1986,ON,Ontario,7.0,4733.9,68.8,11.2,5.8
1986,PE,Prince Edward Island,13.0,52.3,62.6,17.4,11.9
1986,QC,Quebec,11.0,2933.5,62.9,16.3,9.6
1986,SK,Saskatchewan,7.7,463.1,66.8,13.2,6.5
1987,AB,Alberta,9.6,1187.7,72.4,14.5,8.2
1987,BC,British Columbia,12.1,1377.7,66.1,18.2,10.5
1987,CA,Canada,8.8,12333.0,66.5,13.2,7.7
