year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
2012,QC,Quebec,7.9,4000.4,65.1,13.2,6.9
2012,SK,Saskatchewan,4.9,550.8,70.1,9.5,4.1
2013,AB,Alberta,4.6,2215.0,73.3,8.5,3.8
2013,BC,British Columbia,6.7,2305.0,64.8,12.7,5.7
2013,CA,Canada,7.2,17667.7,66.7,13.3,6.0
2013,MB,Manitoba,5.5,626.1,68.7,10.3,4.6
2013,NB,New Brunswick,10.4,357.0,63.7,17.0,9.1
2013,NL,Newfoundland and Labrador,11.9,242.0,61.8,17.0,9.9
2013,NS,Nova Scotia,9.1,453.4,64.1,17.6,7.6
2013,ON,Ontario,7.6,6790.9,66.3,15.6,6.3
2013,PE,Prince Edward Island,11.5,73.9,70.0,17.4,9.9
2013,QC,Quebec,7.8,4038.8,65.3,12.8,6.7
2013,SK,Saskatchewan,4.2,565.7,70.4,7.6,3.6
2014,AB,Alberta,4.8,2250.3,72.8,9.3,4.0
2014,BC,British Columbia,6.2,2330.3,64.1,11.4,5.3
2014,CA,Canada,7.0,17738.5,66.2,13.3,5.9
2014,MB,Manitoba,5.5,628.2,68.2,10.7,4.5
2014,NB,New Brunswick,10.1,357.4,63.4,16.9,8.4
2014,NL,Newfoundland and Labrador,12.4,239.9,61.4,16.1,10.7
2014,NS,Nova Scotia,9.1,446.9,63.2,17.4,7.6
2014,ON,Ontario,7.4,6823.4,65.9,15.3,6.1
2014,PE,Prince Edward Island,10.7,73.3,68.8,16.4,8.7
2014,QC,Quebec,7.9,4020.2,64.8,13.2,6.8
2014,SK,Saskatchewan,3.9,568.5,69.8,7.5,3.4
2015,AB,Alberta,6.1,2263.0,73.3,10.4,5.5
2015,BC,British Columbia,6.2,2375.0,64.1,11.1,5.2
2015,CA,Canada,7.0,17857.2,66.1,12.8,5.9
2015,MB,Manitoba,5.7,637.9,68.7,11.3,4.8
2015,NB,New Brunswick,10.1,354.7,62.8,17.1,8.4
2015,NL,Newfoundland and Labrador,13.1,240.1,61.8,16.5,11.3
2015,NS,Nova Scotia,8.9,443.7,62.6,15.2,7.5
2015,ON,Ontario,6.8,6862.7,65.3,14.4,5.6
2015,PE,Prince Edward Island,10.7,72.7,68.1,15.3,9.1
2015,QC,Quebec,7.7,4041.9,64.9,12.2,6.7
2015,SK,Saskatchewan,5.2,565.5,69.9,9.9,4.6
2016,AB,Alberta,8.2,2198.3,72.3,12.8,7.2
2016,BC,British Columbia,6.1,2464.7,65.2,10.1,5.4
2016,CA,Canada,7.1,17966.9,65.8,12.6,6.1
2016,MB,Manitoba,6.1,638.0,68.0,12.5,5.0
2016,NB,New Brunswick,9.7,357.6,62.8,14.4,8.1
2016,NL,Newfoundland and Labrador,13.7,235.1,60.7,16.6,12.0
2016,NS,Nova Scotia,8.4,441.9,61.7,14.0,7.4
2016,ON,Ontario,6.6,6934.5,65.0,13.4,5.5
2016,PE,Prince Edward Island,10.8,72.1,66.6,14.4,9.1
2016,QC,Quebec,7.2,4063.6,64.6,12.2,6.3
2016,SK,Saskatchewan,6.5,561.1,69.7,11.4,5.7
2017,AB,Alberta,8.0,2218.4,72.1,13.1,6.8
2017,BC,British Columbia,5.3,2562.9,66.1,8.5,4.6
2017,CA,Canada,6.4,18372.2,66.0,11.2,5.6
2017,MB,Manitoba,5.3,648.8,67.6,10.9,4.4
2017,NB,New Brunswick,8.3,359.4,61.9,13.1,6.9
2017,NL,Newfoundland and Labrador,15.2,226.8,59.5,17.4,13.3
2017,NS,Nova Scotia,8.7,444.8,61.7,16.4,7.3
2017,ON,Ontario,6.1,7109.2,65.2,11.7,5.2
2017,PE,Prince Edward Island,10.0,74.2,66.8,12.9,8.7
2017,QC,Quebec,6.1,4165.1,64.9,9.8,5.5
2017,SK,Saskatchewan,6.4,562.5,69.2,11.8,5.6
2018,AB,Alberta,6.5,2279.3,71.8,11.6,5.5
2018,BC,British Columbia,4.6,2609.9,65.7,7.5,4.1
2018,CA,Canada,5.8,18706.6,65.8,10.6,5.0
2018,MB,Manitoba,6.0,653.6,67.6,10.8,5.1
2018,NB,New Brunswick,8.1,359.9,61.5,12.5,6.8
2018,NL,Newfoundland and Labrador,14.0,228.0,59.1,18.7,12.1
2018,NS,Nova Scotia,7.9,451.1,61.3,15.1,6.5
2018,ON,Ontario,5.7,7240.4,64.9,11.7,4.7
2018,PE,Prince Edward Island,9.9,76.1,67.2,12.8,8.6
2018,QC,Quebec,5.5,4243.2,65.0,9.0,4.7
2018,SK,Saskatchewan,6.1,565.2,68.8,11.6,5.4
2019,AB,Alberta,6.9,2305.5,71.8,12.2,5.7
2019,BC,British Columbia,4.8,2681.1,66.5,9.2,4.0
2019,CA,Canada,5.7,19070.8,66.0,10.7,4.7
2019,MB,Manitoba,5.3,661.6,67.1,10.7,4.4
2019,NB,New Brunswick,8.2,361.7,61.4,12.4,6.6
2019,NL,Newfoundland and Labrador,12.2,231.3,58.7,17.6,10.2
2019,NS,Nova Scotia,7.5,463.8,61.9,13.5,6.4
2019,ON,Ontario,5.5,7412.9,65.2,11.7,4.6
2019,PE,Prince Edward Island,9.0,78.1,66.7,10.4,7.7
2019,QC,Quebec,5.1,4300.3,65.1,8.3,4.3
2019,SK,Saskatchewan,5.5,574.5,69.0,11.3,4.9
2020,AB,Alberta,11.4,2137.1,68.9,24.4,9.1
2020,BC,British Columbia,9.1,2527.3,64.5,18.9,7.6
2020,CA,Canada,9.7,18068.5,64.4,20.1,7.9
2020,MB,Manitoba,8.1,635.6,65.7,16.3,6.7
2020,NB,New Brunswick,10.4,351.5,60.6,18.7,8.2
2020,NL,Newfoundland and Labrador,14.3,217.3,56.4,21.1,11.5
2020,NS,Nova Scotia,9.9,447.2,60.4,16.7,8.5
2020,ON,Ontario,9.8,7043.4,63.7,22.1,7.9
2020,PE,Prince Edward Island,10.6,76.2,64.7,16.4,9.3
2020,QC,Quebec,8.9,4087.5,63.9,16.6,7.3
2020,SK,Saskatchewan,8.3,545.3,67.3,17.5,7.0
2021,AB,Alberta,8.6,2245.9,69.7,14.9,7.2
2021,BC,British Columbia,6.6,2683.9,65.9,12.3,5.2
2021,CA,Canada,7.5,18964.1,65.5,13.5,6.2
2021,MB,Manitoba,6.5,664.0,66.8,11.5,5.6
2021,NB,New Brunswick,9.3,364.6,61.4,13.2,7.8
2021,NL,Newfoundland and Labrador,13.0,225.1,57.5,18.3,10.5
2021,NS,Nova Scotia,8.6,475.5,62.5,14.1,7.1
2021,ON,Ontario,8.1,7404.8,65.2,15.9,6.7
2021,PE,Prince Edward Island,9.8,80.0,65.8,14.1,8.4
2021,QC,Quebec,6.1,4261.8,64.3,9.6,5.2
2021,SK,Saskatchewan,6.5,558.3,67.5,11.7,5.5
2022,AB,Alberta,5.8,2356.0,69.6,11.0,4.7
2022,BC,British Columbia,4.6,2775.7,65.5,8.9,4.0
2022,CA,Canada,5.3,19739.5,65.5,10.0,4.3
2022,MB,Manitoba,4.5,687.9,66.7,8.3,3.6
2022,NB,New Brunswick,7.2,375.6,60.5,11.9,5.7
2022,NL,Newfoundland and Labrador,11.3,234.2,58.3,14.6,8.9
2022,NS,Nova Scotia,6.6,492.1,61.8,11.4,5.3
2022,ON,Ontario,5.6,7764.1,65.4,11.4,4.6
2022,PE,Prince Edward Island,7.7,84.1,65.3,11.7,5.5
2022,QC,Quebec,4.3,4392.0,64.4,7.6,3.5
2022,SK,Saskatchewan,4.6,577.8,67.7,8.1,4.0
2023,AB,Alberta,5.9,2442.6,69.5,12.2,4.9
2023,BC,British Columbia,5.2,2847.9,65.8,9.6,4.5
2023,CA,Canada,5.4,20334.8,65.8,10.7,4.5
2023,MB,Manitoba,4.9,706.8,67.1,9.5,4.1
2023,NB,New Brunswick,6.6,388.6,60.4,11.7,5.1
2023,NL,Newfoundland and Labrador,9.9,238.3,57.6,14.6,7.8
2023,NS,Nova Scotia,6.4,505.3,61.5,12.0,5.2
2023,ON,Ontario,5.6,8006.1,65.6,12.5,4.7
2023,PE,Prince Edward Island,7.2,89.3,66.2,11.5,5.9
2023,QC,Quebec,4.5,4522.8,65.3,7.4,3.8
2023,SK,Saskatchewan,4.7,587.0,67.2,9.6,4.1
2024,AB,Alberta,7.0,2518.9,69.2,14.5,5.7
2024,BC,British Columbia,5.6,2914.0,65.2,11.4,4.9
2024,CA,Canada,6.3,20730.5,65.5,13.1,5.4
2024,MB,Manitoba,5.4,724.4,66.8,10.6,4.4
2024,NB,New Brunswick,7.0,400.0,60.6,11.7,6.0
2024,NL,Newfoundland and Labrador,10.0,245.0,58.3,14.2,8.3
2024,NS,Nova Scotia,6.5,521.3,61.8,12.1,5.6
2024,ON,Ontario,7.0,8146.1,65.3,15.7,5.8
2024,PE,Prince Edward Island,8.0,92.5,66.5,11.1,6.9
2024,QC,Quebec,5.3,4566.0,64.9,9.5,4.6
2024,SK,Saskatchewan,5.4,602.2,67.4,11.5,4.6
2025,AB,Alberta,7.2,2590.1,68.9,15.7,5.9
2025,BC,British Columbia,6.2,2946.2,65.0,13.4,5.3
2025,CA,Canada,6.8,21028.7,65.3,13.8,5.8
2025,MB,Manitoba,5.9,736.2,66.6,11.9,4.8
2025,NB,New Brunswick,7.1,405.2,60.5,14.9,5.6
2025,NL,Newfoundland and Labrador,10.1,244.8,57.8,16.4,8.4
2025,NS,Nova Scotia,6.6,523.5,61.3,13.0,5.6
2025,ON,Ontario,7.7,8227.0,65.0,16.0,6.7
2025,PE,Prince Edward Island,8.0,93.5,66.0,10.9,6.8
2025,QC,Quebec,5.6,4644.8,64.9,9.7,4.8
2025,SK,Saskatchewan,5.2,617.4,67.4,11.9,4.2
