ref_year,region_code,gender,age_group,characteristic,value,uom
2020,MB,Total,15 to 64 years,Full-time employment,495.2,Persons in thousands
2020,MB,Total,15 to 64 years,Labour force,659.6,Persons in thousands
2020,MB,Total,15 to 64 years,Not in labour force,184.9,Persons in thousands
2020,MB,Total,15 to 64 years,Part-time employment,109.8,Persons in thousands
2020,MB,Total,15 to 64 years,Participation rate,78.1,Percent
2020,MB,Total,15 to 64 years,Population,844.6,Persons in thousands
2020,MB,Total,15 to 64 years,Proportion employed full-time,81.9,Percent
2020,MB,Total,15 to 64 years,Proportion employed part-time,18.1,Percent
2020,MB,Total,15 to 64 years,Unemployment,54.6,Persons in thousands
2020,MB,Total,15 to 64 years,Unemployment rate,8.3,Percent
2020,MB,Total,15 years and over,Employment,635.6,Persons in thousands
2020,MB,Total,15 years and over,Employment rate,60.3,Percent
2020,MB,Total,15 years and over,Full-time employment,513.9,Persons in thousands
2020,MB,Total,15 years and over,Labour force,692.0,Persons in thousands
2020,MB,Total,15 years and over,Not in labour force,361.5,Persons in thousands
2020,MB,Total,15 years and over,Part-time employment,121.7,Persons in thousands
2020,MB,Total,15 years and over,Participation rate,65.7,Percent
2020,MB,Total,15 years and over,Population,1053.4,Persons in thousands
2020,MB,Total,15 years and over,Proportion employed full-time,80.9,Percent
2020,MB,Total,15 years and over,Proportion employed part-time,19.1,Percent
2020,MB,Total,15 years and over,Unemployment,56.3,Persons in thousands
2020,MB,Total,15 years and over,Unemployment rate,8.1,Percent
2020,MB,Total,25 to 54 years,Employment,409.2,Persons in thousands
2020,MB,Total,25 to 54 years,Employment rate,80.5,Percent
2020,MB,Total,25 to 54 years,Full-time employment,359.9,Persons in thousands
2020,MB,Total,25 to 54 years,Labour force,438.7,Persons in thousands
2020,MB,Total,25 to 54 years,Not in labour force,69.7,Persons in thousands
2020,MB,Total,25 to 54 years,Part-time employment,49.3,Persons in thousands
2020,MB,Total,25 to 54 years,Participation rate,86.3,Percent
2020,MB,Total,25 to 54 years,Population,508.4,Persons in thousands
2020,MB,Total,25 to 54 years,Proportion employed full-time,88.0,Percent
2020,MB,Total,25 to 54 years,Proportion employed part-time,12.0,Percent
2020,MB,Total,25 to 54 years,Unemployment,29.5,Persons in thousands
2020,MB,Total,25 to 54 years,Unemployment rate,6.7,Percent
2020,NB,Total,15 to 24 years,Employment,42.5,Persons in thousands
2020,NB,Total,15 to 24 years,Employment rate,52.9,Percent
2020,NB,Total,15 to 24 years,Full-time employment,26.2,Persons in thousands
2020,NB,Total,15 to 24 years,Labour force,52.3,Persons in thousands
2020,NB,Total,15 to 24 years,Not in labour force,28.1,Persons in thousands
2020,NB,Total,15 to 24 years,Part-time employment,16.2,Persons in thousands
2020,NB,Total,15 to 24 years,Participation rate,65.1,Percent
2020,NB,Total,15 to 24 years,Population,80.3,Persons in thousands
2020,NB,Total,15 to 24 years,Proportion employed full-time,61.6,Percent
2020,NB,Total,15 to 24 years,Proportion employed part-time,38.1,Percent
2020,NB,Total,15 to 24 years,Unemployment,9.8,Persons in thousands
2020,NB,Total,15 to 24 years,Unemployment rate,18.7,Percent
2020,NB,Total,15 to 64 years,Employment,333.1,Persons in thousands
2020,NB,Total,15 to 64 years,Employment rate,68.9,Percent
2020,NB,Total,15 to 64 years,Full-time employment,288.7,Persons in thousands
2020,NB,Total,15 to 64 years,Labour force,371.8,Persons in thousands
2020,NB,Total,15 to 64 years,Not in labour force,111.9,Persons in thousands
2020,NB,Total,15 to 64 years,Part-time employment,44.4,Persons in thousands
2020,NB,Total,15 to 64 years,Participation rate,76.9,Percent
2020,NB,Total,15 to 64 years,Population,483.7,Persons in thousands
2020,NB,Total,15 to 64 years,Proportion employed full-time,86.7,Percent
2020,NB,Total,15 to 64 years,Proportion employed part-time,13.3,Percent
2020,NB,Total,15 to 64 years,Unemployment,38.7,Persons in thousands
2020,NB,Total,15 to 64 years,Unemployment rate,10.4,Percent
2020,NB,Total,15 years and over,Employment,351.5,Persons in thousands
2020,NB,Total,15 years and over,Employment rate,54.3,Percent
2020,NB,Total,15 years and over,Full-time employment,300.2,Persons in thousands
2020,NB,Total,15 years and over,Labour force,392.3,Persons in thousands
2020,NB,Total,15 years and over,Not in labour force,255.5,Persons in thousands
2020,NB,Total,15 years and over,Part-time employment,51.3,Persons in thousands
2020,NB,Total,15 years and over,Participation rate,60.6,Percent
2020,NB,Total,15 years and over,Population,647.8,Persons in thousands
2020,NB,Total,15 years and over,Proportion employed full-time,85.4,Percent
2020,NB,Total,15 years and over,Proportion employed part-time,14.6,Percent
2020,NB,Total,15 years and over,Unemployment,40.8,Persons in thousands
2020,NB,Total,15 years and over,Unemployment rate,10.4,Percent
2020,NB,Total,25 to 54 years,Employment,221.9,Persons in thousands
2020,NB,Total,25 to 54 years,Employment rate,79.4,Percent
2020,NB,Total,25 to 54 years,Full-time employment,203.6,Persons in thousands
2020,NB,Total,25 to 54 years,Labour force,241.6,Persons in thousands
2020,NB,Total,25 to 54 years,Not in labour force,38.0,Persons in thousands
2020,NB,Total,25 to 54 years,Part-time employment,18.3,Persons in thousands
2020,NB,Total,25 to 54 years,Participation rate,86.4,Percent
2020,NB,Total,25 to 54 years,Population,279.6,Persons in thousands
2020,NB,Total,25 to 54 years,Proportion employed full-time,91.8,Percent
2020,NB,Total,25 to 54 years,Proportion employed part-time,8.2,Percent
2020,NB,Total,25 to 54 years,Unemployment,19.7,Persons in thousands
2020,NB,Total,25 to 54 years,Unemployment rate,8.2,Percent
2020,NL,Total,15 to 24 years,Employment,25.7,Persons in thousands
2020,NL,Total,15 to 24 years,Employment rate,47.2,Percent
2020,NL,Total,15 to 24 years,Full-time employment,14.3,Persons in thousands
2020,NL,Total,15 to 24 years,Labour force,32.7,Persons in thousands
2020,NL,Total,15 to 24 years,Not in labour force,21.8,Persons in thousands
2020,NL,Total,15 to 24 years,Part-time employment,11.4,Persons in thousands
2020,NL,Total,15 to 24 years,Participation rate,60.0,Percent
2020,NL,Total,15 to 24 years,Population,54.5,Persons in thousands
2020,NL,Total,15 to 24 years,Proportion employed full-time,55.6,Percent
2020,NL,Total,15 to 24 years,Proportion employed part-time,44.4,Percent
2020,NL,Total,15 to 24 years,Unemployment,6.9,Persons in thousands
2020,NL,Total,15 to 24 years,Unemployment rate,21.1,Percent
2020,NL,Total,15 to 64 years,Employment,208.6,Persons in thousands
2020,NL,Total,15 to 64 years,Employment rate,62.3,Percent
2020,NL,Total,15 to 64 years,Full-time employment,177.8,Persons in thousands
2020,NL,Total,15 to 64 years,Labour force,243.1,Persons in thousands
2020,NL,Total,15 to 64 years,Not in labour force,91.6,Persons in thousands
2020,NL,Total,15 to 64 years,Part-time employment,30.8,Persons in thousands
2020,NL,Total,15 to 64 years,Participation rate,72.6,Percent
2020,NL,Total,15 to 64 years,Population,334.8,Persons in thousands
2020,NL,Total,15 to 64 years,Proportion employed full-time,85.2,Percent
2020,NL,Total,15 to 64 years,Proportion employed part-time,14.8,Percent
2020,NL,Total,15 to 64 years,Unemployment,34.5,Persons in thousands
2020,NL,Total,15 to 64 years,Unemployment rate,14.2,Percent
2020,NL,Total,15 years and over,Employment,217.3,Persons in thousands
2020,NL,Total,15 years and over,Employment rate,48.4,Percent
2020,NL,Total,15 years and over,Full-time employment,183.1,Persons in thousands
2020,NL,Total,15 years and over,Labour force,253.5,Persons in thousands
2020,NL,Total,15 years and over,Not in labour force,195.8,Persons in thousands
2020,NL,Total,15 years and over,Part-time employment,34.2,Persons in thousands
2020,NL,Total,15 years and over,Participation rate,56.4,Percent
2020,NL,Total,15 years and over,Population,449.4,Persons in thousands
2020,NL,Total,15 years and over,Proportion employed full-time,84.3,Percent
2020,NL,Total,15 years and over,Proportion employed part-time,15.7,Percent
2020,NL,Total,15 years and over,Unemployment,36.3,Persons in thousands
2020,NL,Total,15 years and over,Unemployment rate,14.3,Percent
2020,NL,Total,25 to 54 years,Employment,143.6,Persons in thousands
2020,NL,Total,25 to 54 years,Employment rate,73.9,Percent
2020,NL,Total,25 to 54 years,Full-time employment,129.0,Persons in thousands
2020,NL,Total,25 to 54 years,Labour force,162.3,Persons in thousands
2020,NL,Total,25 to 54 years,Not in labour force,32.0,Persons in thousands
2020,NL,Total,25 to 54 years,Part-time employment,14.6,Persons in thousands
2020,NL,Total,25 to 54 years,Participation rate,83.5,Percent
2020,NL,Total,25 to 54 years,Population,194.3,Persons in thousands
2020,NL,Total,25 to 54 years,Proportion employed full-time,89.8,Percent
2020,NL,Total,25 to 54 years,Proportion employed part-time,10.2,Percent
2020,NL,Total,25 to 54 years,Unemployment,18.7,Persons in thousands
2020,NL,Total,25 to 54 years,Unemployment rate,11.5,Percent
2020,NS,Total,15 to 24 years,Employment,59.8,Persons in thousands
2020,NS,Total,15 to 24 years,Employment rate,54.5,Percent
2020,NS,Total,15 to 24 years,Full-time employment,32.5,Persons in thousands
2020,NS,Total,15 to 24 years,Labour force,71.8,Persons in thousands
2020,NS,Total,15 to 24 years,Not in labour force,37.9,Persons in thousands
2020,NS,Total,15 to 24 years,Part-time employment,27.2,Persons in thousands
2020,NS,Total,15 to 24 years,Participation rate,65.4,Percent
2020,NS,Total,15 to 24 years,Population,109.8,Persons in thousands
2020,NS,Total,15 to 24 years,Proportion employed full-time,54.3,Percent
2020,NS,Total,15 to 24 years,Proportion employed part-time,45.5,Percent
2020,NS,Total,15 to 24 years,Unemployment,12.0,Persons in thousands
2020,NS,Total,15 to 24 years,Unemployment rate,16.7,Percent
2020,NS,Total,15 to 64 years,Employment,423.5,Persons in thousands
2020,NS,Total,15 to 64 years,Employment rate,68.2,Percent
2020,NS,Total,15 to 64 years,Full-time employment,353.5,Persons in thousands
2020,NS,Total,15 to 64 years,Labour force,470.8,Persons in thousands
2020,NS,Total,15 to 64 years,Not in labour force,149.9,Persons in thousands
2020,NS,Total,15 to 64 years,Part-time employment,69.9,Persons in thousands
2020,NS,Total,15 to 64 years,Participation rate,75.8,Percent
2020,NS,Total,15 to 64 years,Population,620.7,Persons in thousands
2020,NS,Total,15 to 64 years,Proportion employed full-time,83.5,Percent
2020,NS,Total,15 to 64 years,Proportion employed part-time,16.5,Percent
2020,NS,Total,15 to 64 years,Unemployment,47.3,Persons in thousands
2020,NS,Total,15 to 64 years,Unemployment rate,10.0,Percent
2020,NS,Total,15 years and over,Employment,447.2,Persons in thousands
2020,NS,Total,15 years and over,Employment rate,54.4,Percent
2020,NS,Total,15 years and over,Full-time employment,367.8,Persons in thousands
2020,NS,Total,15 years and over,Labour force,496.5,Persons in thousands
2020,NS,Total,15 years and over,Not in labour force,325.7,Persons in thousands
2020,NS,Total,15 years and over,Part-time employment,79.4,Persons in thousands
2020,NS,Total,15 years and over,Participation rate,60.4,Percent
2020,NS,Total,15 years and over,Population,822.2,Persons in thousands
2020,NS,Total,15 years and over,Proportion employed full-time,82.2,Percent
2020,NS,Total,15 years and over,Proportion employed part-time,17.8,Percent
2020,NS,Total,15 years and over,Unemployment,49.4,Persons in thousands
2020,NS,Total,15 years and over,Unemployment rate,9.9,Percent
2020,NS,Total,25 to 54 years,Employment,281.4,Persons in thousands
2020,NS,Total,25 to 54 years,Employment rate,78.9,Percent
2020,NS,Total,25 to 54 years,Full-time employment,251.5,Persons in thousands
2020,NS,Total,25 to 54 years,Labour force,307.6,Persons in thousands
2020,NS,Total,25 to 54 years,Not in labour force,49.2,Persons in thousands
2020,NS,Total,25 to 54 years,Part-time employment,29.9,Persons in thousands
2020,NS,Total,25 to 54 years,Participation rate,86.2,Percent
2020,NS,Total,25 to 54 years,Population,356.7,Persons in thousands
2020,NS,Total,25 to 54 years,Proportion employed full-time,89.4,Percent
2020,NS,Total,25 to 54 years,Proportion employed part-time,10.6,Percent
2020,NS,Total,25 to 54 years,Unemployment,26.1,Persons in thousands
2020,NS,Total,25 to 54 years,Unemployment rate,8.5,Percent
2020,ON,Total,15 to 24 years,Employment,844.0,Persons in thousands
2020,ON,Total,15 to 24 years,Employment rate,45.7,Percent
2020,ON,Total,15 to 24 years,Full-time employment,449.1,Persons in thousands
2020,ON,Total,15 to 24 years,Labour force,1083.6,Persons in thousands
2020,ON,Total,15 to 24 years,Not in labour force,761.3,Persons in thousands
2020,ON,Total,15 to 24 years,Part-time employment,394.9,Persons in thousands
2020,ON,Total,15 to 24 years,Participation rate,58.7,Percent
2020,ON,Total,15 to 24 years,Population,1844.9,Persons in thousands
2020,ON,Total,15 to 24 years,Proportion employed full-time,53.2,Percent
2020,ON,Total,15 to 24 years,Proportion employed part-time,46.8,Percent
2020,ON,Total,15 to 24 years,Unemployment,239.6,Persons in thousands
2020,ON,Total,15 to 24 years,Unemployment rate,22.1,Percent
2020,ON,Total,15 to 64 years,Employment,6706.4,Persons in thousands
2020,ON,Total,15 to 64 years,Employment rate,68.8,Percent
2020,ON,Total,15 to 64 years,Full-time employment,5616.6,Persons in thousands
2020,ON,Total,15 to 64 years,Labour force,7443.5,Persons in thousands
2020,ON,Total,15 to 64 years,Not in labour force,2308.8,Persons in thousands
2020,ON,Total,15 to 64 years,Part-time employment,1089.8,Persons in thousands
2020,ON,Total,15 to 64 years,Participation rate,76.3,Percent
2020,ON,Total,15 to 64 years,Population,9752.3,Persons in thousands
2020,ON,Total,15 to 64 years,Proportion employed full-time,83.7,Percent
2020,ON,Total,15 to 64 years,Proportion employed part-time,16.3,Percent
2020,ON,Total,15 to 64 years,Unemployment,737.0,Persons in thousands
2020,ON,Total,15 to 64 years,Unemployment rate,9.9,Percent
2020,ON,Total,15 years and over,Employment,7043.4,Persons in thousands
2020,ON,Total,15 years and over,Employment rate,57.5,Percent
2020,ON,Total,15 years and over,Full-time employment,5821.7,Persons in thousands
2020,ON,Total,15 years and over,Labour force,7805.6,Persons in thousands
2020,ON,Total,15 years and over,Not in labour force,4441.0,Persons in thousands
2020,ON,Total,15 years and over,Part-time employment,1221.7,Persons in thousands
2020,ON,Total,15 years and over,Participation rate,63.7,Percent
2020,ON,Total,15 years and over,Population,12246.6,Persons in thousands
2020,ON,Total,15 years and over,Proportion employed full-time,82.7,Percent
2020,ON,Total,15 years and over,Proportion employed part-time,17.3,Percent
2020,ON,Total,15 years and over,Unemployment,762.1,Persons in thousands
2020,ON,Total,15 years and over,Unemployment rate,9.8,Percent
2020,ON,Total,25 to 54 years,Employment,4610.9,Persons in thousands
2020,ON,Total,25 to 54 years,Employment rate,78.3,Percent
2020,ON,Total,25 to 54 years,Full-time employment,4117.5,Persons in thousands
2020,ON,Total,25 to 54 years,Labour force,5008.4,Persons in thousands
