ref_year,region_code,gender,age_group,characteristic,value,uom
2022,QC,Total,25 to 54 years,Part-time employment,246.1,Persons in thousands
2022,QC,Total,25 to 54 years,Participation rate,90.2,Percent
2022,QC,Total,25 to 54 years,Population,3297.9,Persons in thousands
2022,QC,Total,25 to 54 years,Proportion employed full-time,91.4,Percent
2022,QC,Total,25 to 54 years,Proportion employed part-time,8.6,Percent
2022,QC,Total,25 to 54 years,Unemployment,105.1,Persons in thousands
2022,QC,Total,25 to 54 years,Unemployment rate,3.5,Percent
2022,SK,Total,15 to 24 years,Employment,78.9,Persons in thousands
2022,SK,Total,15 to 24 years,Employment rate,59.5,Percent
2022,SK,Total,15 to 24 years,Full-time employment,43.0,Persons in thousands
2022,SK,Total,15 to 24 years,Labour force,86.0,Persons in thousands
2022,SK,Total,15 to 24 years,Not in labour force,46.5,Persons in thousands
2022,SK,Total,15 to 24 years,Part-time employment,35.9,Persons in thousands
2022,SK,Total,15 to 24 years,Participation rate,64.9,Percent
2022,SK,Total,15 to 24 years,Population,132.5,Persons in thousands
2022,SK,Total,15 to 24 years,Proportion employed full-time,54.5,Percent
2022,SK,Total,15 to 24 years,Proportion employed part-time,45.5,Percent
2022,SK,Total,15 to 24 years,Unemployment,7.0,Persons in thousands
2022,SK,Total,15 to 24 years,Unemployment rate,8.1,Percent
2022,SK,Total,15 to 64 years,Employment,543.7,Persons in thousands
2022,SK,Total,15 to 64 years,Employment rate,77.2,Percent
2022,SK,Total,15 to 64 years,Full-time employment,453.7,Persons in thousands
2022,SK,Total,15 to 64 years,Labour force,570.2,Persons in thousands
2022,SK,Total,15 to 64 years,Not in labour force,133.9,Persons in thousands
2022,SK,Total,15 to 64 years,Part-time employment,90.0,Persons in thousands
2022,SK,Total,15 to 64 years,Participation rate,81.0,Percent
2022,SK,Total,15 to 64 years,Population,704.1,Persons in thousands
2022,SK,Total,15 to 64 years,Proportion employed full-time,83.4,Percent
2022,SK,Total,15 to 64 years,Proportion employed part-time,16.6,Percent
2022,SK,Total,15 to 64 years,Unemployment,26.5,Persons in thousands
2022,SK,Total,15 to 64 years,Unemployment rate,4.6,Percent
2022,SK,Total,15 years and over,Employment,577.8,Persons in thousands
2022,SK,Total,15 years and over,Employment rate,64.6,Percent
2022,SK,Total,15 years and over,Full-time employment,474.7,Persons in thousands
2022,SK,Total,15 years and over,Labour force,605.9,Persons in thousands
2022,SK,Total,15 years and over,Not in labour force,288.5,Persons in thousands
2022,SK,Total,15 years and over,Part-time employment,103.1,Persons in thousands
2022,SK,Total,15 years and over,Participation rate,67.7,Percent
2022,SK,Total,15 years and over,Population,894.5,Persons in thousands
2022,SK,Total,15 years and over,Proportion employed full-time,82.2,Percent
2022,SK,Total,15 years and over,Proportion employed part-time,17.8,Percent
2022,SK,Total,15 years and over,Unemployment,28.1,Persons in thousands
2022,SK,Total,15 years and over,Unemployment rate,4.6,Percent
2022,SK,Total,25 to 54 years,Employment,370.4,Persons in thousands
2022,SK,Total,25 to 54 years,Employment rate,86.0,Percent
2022,SK,Total,25 to 54 years,Full-time employment,331.1,Persons in thousands
2022,SK,Total,25 to 54 years,Labour force,385.7,Persons in thousands
2022,SK,Total,25 to 54 years,Not in labour force,45.1,Persons in thousands
2022,SK,Total,25 to 54 years,Part-time employment,39.3,Persons in thousands
2022,SK,Total,25 to 54 years,Participation rate,89.5,Percent
2022,SK,Total,25 to 54 years,Population,430.8,Persons in thousands
2022,SK,Total,25 to 54 years,Proportion employed full-time,89.4,Percent
2022,SK,Total,25 to 54 years,Proportion employed part-time,10.6,Percent
2022,SK,Total,25 to 54 years,Unemployment,15.3,Persons in thousands
2022,SK,Total,25 to 54 years,Unemployment rate,4.0,Percent
2023,AB,Total,15 to 24 years,Employment,307.2,Persons in thousands
2023,AB,Total,15 to 24 years,Employment rate,55.6,Percent
2023,AB,Total,15 to 24 years,Full-time employment,162.3,Persons in thousands
2023,AB,Total,15 to 24 years,Labour force,349.8,Persons in thousands
2023,AB,Total,15 to 24 years,Not in labour force,203.0,Persons in thousands
2023,AB,Total,15 to 24 years,Part-time employment,144.9,Persons in thousands
2023,AB,Total,15 to 24 years,Participation rate,63.3,Percent
2023,AB,Total,15 to 24 years,Population,552.8,Persons in thousands
2023,AB,Total,15 to 24 years,Proportion employed full-time,52.8,Percent
2023,AB,Total,15 to 24 years,Proportion employed part-time,47.2,Percent
2023,AB,Total,15 to 24 years,Unemployment,42.6,Persons in thousands
2023,AB,Total,15 to 24 years,Unemployment rate,12.2,Percent
2023,AB,Total,15 to 64 years,Employment,2324.2,Persons in thousands
2023,AB,Total,15 to 64 years,Employment rate,76.0,Percent
2023,AB,Total,15 to 64 years,Full-time employment,1928.0,Persons in thousands
2023,AB,Total,15 to 64 years,Labour force,2471.1,Persons in thousands
2023,AB,Total,15 to 64 years,Not in labour force,586.4,Persons in thousands
2023,AB,Total,15 to 64 years,Part-time employment,396.1,Persons in thousands
2023,AB,Total,15 to 64 years,Participation rate,80.8,Percent
2023,AB,Total,15 to 64 years,Population,3057.5,Persons in thousands
2023,AB,Total,15 to 64 years,Proportion employed full-time,83.0,Percent
2023,AB,Total,15 to 64 years,Proportion employed part-time,17.0,Percent
2023,AB,Total,15 to 64 years,Unemployment,146.9,Persons in thousands
2023,AB,Total,15 to 64 years,Unemployment rate,5.9,Percent
2023,AB,Total,15 years and over,Employment,2442.6,Persons in thousands
2023,AB,Total,15 years and over,Employment rate,65.4,Percent
2023,AB,Total,15 years and over,Full-time employment,2001.7,Persons in thousands
2023,AB,Total,15 years and over,Labour force,2595.5,Persons in thousands
2023,AB,Total,15 years and over,Not in labour force,1138.5,Persons in thousands
2023,AB,Total,15 years and over,Part-time employment,440.9,Persons in thousands
2023,AB,Total,15 years and over,Participation rate,69.5,Percent
2023,AB,Total,15 years and over,Population,3734.0,Persons in thousands
2023,AB,Total,15 years and over,Proportion employed full-time,81.9,Percent
2023,AB,Total,15 years and over,Proportion employed part-time,18.1,Percent
2023,AB,Total,15 years and over,Unemployment,152.9,Persons in thousands
2023,AB,Total,15 years and over,Unemployment rate,5.9,Percent
2023,AB,Total,25 to 54 years,Employment,1651.8,Persons in thousands
2023,AB,Total,25 to 54 years,Employment rate,84.2,Percent
2023,AB,Total,25 to 54 years,Full-time employment,1461.1,Persons in thousands
2023,AB,Total,25 to 54 years,Labour force,1737.3,Persons in thousands
2023,AB,Total,25 to 54 years,Not in labour force,224.3,Persons in thousands
2023,AB,Total,25 to 54 years,Part-time employment,190.7,Persons in thousands
2023,AB,Total,25 to 54 years,Participation rate,88.6,Percent
2023,AB,Total,25 to 54 years,Population,1961.5,Persons in thousands
2023,AB,Total,25 to 54 years,Proportion employed full-time,88.5,Percent
2023,AB,Total,25 to 54 years,Proportion employed part-time,11.5,Percent
2023,AB,Total,25 to 54 years,Unemployment,85.4,Persons in thousands
2023,AB,Total,25 to 54 years,Unemployment rate,4.9,Percent
2023,BC,Total,15 to 24 years,Employment,363.1,Persons in thousands
2023,BC,Total,15 to 24 years,Employment rate,59.3,Percent
2023,BC,Total,15 to 24 years,Full-time employment,188.8,Persons in thousands
2023,BC,Total,15 to 24 years,Labour force,401.5,Persons in thousands
2023,BC,Total,15 to 24 years,Not in labour force,210.5,Persons in thousands
2023,BC,Total,15 to 24 years,Part-time employment,174.2,Persons in thousands
2023,BC,Total,15 to 24 years,Participation rate,65.6,Percent
2023,BC,Total,15 to 24 years,Population,611.9,Persons in thousands
2023,BC,Total,15 to 24 years,Proportion employed full-time,52.0,Percent
2023,BC,Total,15 to 24 years,Proportion employed part-time,48.0,Percent
2023,BC,Total,15 to 24 years,Unemployment,38.4,Persons in thousands
2023,BC,Total,15 to 24 years,Unemployment rate,9.6,Percent
2023,BC,Total,15 to 64 years,Employment,2694.0,Persons in thousands
2023,BC,Total,15 to 64 years,Employment rate,76.2,Percent
2023,BC,Total,15 to 64 years,Full-time employment,2188.0,Persons in thousands
2023,BC,Total,15 to 64 years,Labour force,2845.1,Persons in thousands
2023,BC,Total,15 to 64 years,Not in labour force,690.9,Persons in thousands
2023,BC,Total,15 to 64 years,Part-time employment,506.1,Persons in thousands
2023,BC,Total,15 to 64 years,Participation rate,80.5,Percent
2023,BC,Total,15 to 64 years,Population,3536.0,Persons in thousands
2023,BC,Total,15 to 64 years,Proportion employed full-time,81.2,Percent
2023,BC,Total,15 to 64 years,Proportion employed part-time,18.8,Percent
2023,BC,Total,15 to 64 years,Unemployment,151.0,Persons in thousands
2023,BC,Total,15 to 64 years,Unemployment rate,5.3,Percent
2023,BC,Total,15 years and over,Employment,2847.9,Persons in thousands
2023,BC,Total,15 years and over,Employment rate,62.4,Percent
2023,BC,Total,15 years and over,Full-time employment,2280.3,Persons in thousands
2023,BC,Total,15 years and over,Labour force,3003.9,Persons in thousands
2023,BC,Total,15 years and over,Not in labour force,1562.0,Persons in thousands
2023,BC,Total,15 years and over,Part-time employment,567.6,Persons in thousands
2023,BC,Total,15 years and over,Participation rate,65.8,Percent
2023,BC,Total,15 years and over,Population,4565.9,Persons in thousands
2023,BC,Total,15 years and over,Proportion employed full-time,80.1,Percent
2023,BC,Total,15 years and over,Proportion employed part-time,19.9,Percent
2023,BC,Total,15 years and over,Unemployment,155.9,Persons in thousands
2023,BC,Total,15 years and over,Unemployment rate,5.2,Percent
2023,BC,Total,25 to 54 years,Employment,1885.0,Persons in thousands
2023,BC,Total,25 to 54 years,Employment rate,84.4,Percent
2023,BC,Total,25 to 54 years,Full-time employment,1633.8,Persons in thousands
2023,BC,Total,25 to 54 years,Labour force,1974.6,Persons in thousands
2023,BC,Total,25 to 54 years,Not in labour force,258.0,Persons in thousands
2023,BC,Total,25 to 54 years,Part-time employment,251.1,Persons in thousands
2023,BC,Total,25 to 54 years,Participation rate,88.4,Percent
2023,BC,Total,25 to 54 years,Population,2232.6,Persons in thousands
2023,BC,Total,25 to 54 years,Proportion employed full-time,86.7,Percent
2023,BC,Total,25 to 54 years,Proportion employed part-time,13.3,Percent
2023,BC,Total,25 to 54 years,Unemployment,89.6,Persons in thousands
2023,BC,Total,25 to 54 years,Unemployment rate,4.5,Percent
2023,CA,Total,15 to 24 years,Employment,2664.2,Persons in thousands
2023,CA,Total,15 to 24 years,Employment rate,58.0,Percent
2023,CA,Total,15 to 24 years,Full-time employment,1345.8,Persons in thousands
2023,CA,Total,15 to 24 years,Labour force,2983.4,Persons in thousands
2023,CA,Total,15 to 24 years,Not in labour force,1606.9,Persons in thousands
2023,CA,Total,15 to 24 years,Part-time employment,1318.4,Persons in thousands
2023,CA,Total,15 to 24 years,Participation rate,65.0,Percent
2023,CA,Total,15 to 24 years,Population,4590.3,Persons in thousands
2023,CA,Total,15 to 24 years,Proportion employed full-time,50.5,Percent
2023,CA,Total,15 to 24 years,Proportion employed part-time,49.5,Percent
2023,CA,Total,15 to 24 years,Unemployment,319.2,Persons in thousands
2023,CA,Total,15 to 24 years,Unemployment rate,10.7,Percent
2023,CA,Total,15 to 64 years,Employment,19299.1,Persons in thousands
2023,CA,Total,15 to 64 years,Employment rate,75.9,Percent
2023,CA,Total,15 to 64 years,Full-time employment,16087.8,Persons in thousands
2023,CA,Total,15 to 64 years,Labour force,20412.5,Persons in thousands
2023,CA,Total,15 to 64 years,Not in labour force,5020.0,Persons in thousands
2023,CA,Total,15 to 64 years,Part-time employment,3211.2,Persons in thousands
2023,CA,Total,15 to 64 years,Participation rate,80.3,Percent
2023,CA,Total,15 to 64 years,Population,25432.5,Persons in thousands
2023,CA,Total,15 to 64 years,Proportion employed full-time,83.4,Percent
2023,CA,Total,15 to 64 years,Proportion employed part-time,16.6,Percent
2023,CA,Total,15 to 64 years,Unemployment,1113.4,Persons in thousands
2023,CA,Total,15 to 64 years,Unemployment rate,5.5,Percent
2023,CA,Total,15 years and over,Employment,20334.8,Persons in thousands
2023,CA,Total,15 years and over,Employment rate,62.2,Percent
2023,CA,Total,15 years and over,Full-time employment,16695.9,Persons in thousands
2023,CA,Total,15 years and over,Labour force,21493.0,Persons in thousands
2023,CA,Total,15 years and over,Not in labour force,11176.7,Persons in thousands
2023,CA,Total,15 years and over,Part-time employment,3638.9,Persons in thousands
2023,CA,Total,15 years and over,Participation rate,65.8,Percent
2023,CA,Total,15 years and over,Population,32669.7,Persons in thousands
2023,CA,Total,15 years and over,Proportion employed full-time,82.1,Percent
2023,CA,Total,15 years and over,Proportion employed part-time,17.9,Percent
2023,CA,Total,15 years and over,Unemployment,1158.3,Persons in thousands
2023,CA,Total,15 years and over,Unemployment rate,5.4,Percent
2023,CA,Total,25 to 54 years,Employment,13319.3,Persons in thousands
2023,CA,Total,25 to 54 years,Employment rate,84.8,Percent
2023,CA,Total,25 to 54 years,Full-time employment,11948.9,Persons in thousands
2023,CA,Total,25 to 54 years,Labour force,13951.8,Persons in thousands
2023,CA,Total,25 to 54 years,Not in labour force,1762.7,Persons in thousands
2023,CA,Total,25 to 54 years,Part-time employment,1370.3,Persons in thousands
2023,CA,Total,25 to 54 years,Participation rate,88.8,Percent
2023,CA,Total,25 to 54 years,Population,15714.5,Persons in thousands
2023,CA,Total,25 to 54 years,Proportion employed full-time,89.7,Percent
2023,CA,Total,25 to 54 years,Proportion employed part-time,10.3,Percent
2023,CA,Total,25 to 54 years,Unemployment,632.5,Persons in thousands
2023,CA,Total,25 to 54 years,Unemployment rate,4.5,Percent
2023,MB,Total,15 to 24 years,Employment,111.9,Persons in thousands
2023,MB,Total,15 to 24 years,Employment rate,62.8,Percent
2023,MB,Total,15 to 24 years,Full-time employment,62.5,Persons in thousands
2023,MB,Total,15 to 24 years,Labour force,123.6,Persons in thousands
2023,MB,Total,15 to 24 years,Not in labour force,54.5,Persons in thousands
2023,MB,Total,15 to 24 years,Part-time employment,49.4,Persons in thousands
2023,MB,Total,15 to 24 years,Participation rate,69.4,Percent
2023,MB,Total,15 to 24 years,Population,178.1,Persons in thousands
2023,MB,Total,15 to 24 years,Proportion employed full-time,55.9,Percent
2023,MB,Total,15 to 24 years,Proportion employed part-time,44.1,Percent
2023,MB,Total,15 to 24 years,Unemployment,11.7,Persons in thousands
2023,MB,Total,15 to 24 years,Unemployment rate,9.5,Percent
2023,MB,Total,15 to 64 years,Employment,671.0,Persons in thousands
2023,MB,Total,15 to 64 years,Employment rate,76.5,Percent
2023,MB,Total,15 to 64 years,Full-time employment,561.1,Persons in thousands
2023,MB,Total,15 to 64 years,Labour force,706.2,Persons in thousands
2023,MB,Total,15 to 64 years,Not in labour force,170.9,Persons in thousands
2023,MB,Total,15 to 64 years,Part-time employment,109.9,Persons in thousands
2023,MB,Total,15 to 64 years,Participation rate,80.5,Percent
2023,MB,Total,15 to 64 years,Population,877.1,Persons in thousands
2023,MB,Total,15 to 64 years,Proportion employed full-time,83.6,Percent
2023,MB,Total,15 to 64 years,Proportion employed part-time,16.4,Percent
2023,MB,Total,15 to 64 years,Unemployment,35.2,Persons in thousands
2023,MB,Total,15 to 64 years,Unemployment rate,5.0,Percent
2023,MB,Total,15 years and over,Employment,706.8,Persons in thousands
2023,MB,Total,15 years and over,Employment rate,63.8,Percent
2023,MB,Total,15 years and over,Full-time employment,581.3,Persons in thousands
2023,MB,Total,15 years and over,Labour force,743.1,Persons in thousands
2023,MB,Total,15 years and over,Not in labour force,364.7,Persons in thousands
2023,MB,Total,15 years and over,Part-time employment,125.5,Persons in thousands
2023,MB,Total,15 years and over,Participation rate,67.1,Percent
2023,MB,Total,15 years and over,Population,1107.8,Persons in thousands
2023,MB,Total,15 years and over,Proportion employed full-time,82.2,Percent
2023,MB,Total,15 years and over,Proportion employed part-time,17.8,Percent
2023,MB,Total,15 years and over,Unemployment,36.3,Persons in thousands
2023,MB,Total,15 years and over,Unemployment rate,4.9,Percent
2023,MB,Total,25 to 54 years,Employment,456.9,Persons in thousands
2023,MB,Total,25 to 54 years,Employment rate,85.2,Percent
2023,MB,Total,25 to 54 years,Full-time employment,412.5,Persons in thousands
2023,MB,Total,25 to 54 years,Labour force,476.2,Persons in thousands
2023,MB,Total,25 to 54 years,Not in labour force,60.1,Persons in thousands
2023,MB,Total,25 to 54 years,Part-time employment,44.4,Persons in thousands
2023,MB,Total,25 to 54 years,Participation rate,88.8,Percent
2023,MB,Total,25 to 54 years,Population,536.3,Persons in thousands
2023,MB,Total,25 to 54 years,Proportion employed full-time,90.3,Percent
2023,MB,Total,25 to 54 years,Proportion employed part-time,9.7,Percent
2023,MB,Total,25 to 54 years,Unemployment,19.3,Persons in thousands
2023,MB,Total,25 to 54 years,Unemployment rate,4.1,Percent
2023,NB,Total,15 to 24 years,Employment,51.5,Persons in thousands
2023,NB,Total,15 to 24 years,Employment rate,59.1,Percent
2023,NB,Total,15 to 24 years,Full-time employment,31.5,Persons in thousands
2023,NB,Total,15 to 24 years,Labour force,58.2,Persons in thousands
2023,NB,Total,15 to 24 years,Not in labour force,28.8,Persons in thousands
2023,NB,Total,15 to 24 years,Part-time employment,20.0,Persons in thousands
2023,NB,Total,15 to 24 years,Participation rate,66.8,Percent
2023,NB,Total,15 to 24 years,Population,87.1,Persons in thousands
2023,NB,Total,15 to 24 years,Proportion employed full-time,61.2,Percent
2023,NB,Total,15 to 24 years,Proportion employed part-time,38.8,Percent
2023,NB,Total,15 to 24 years,Unemployment,6.8,Persons in thousands
2023,NB,Total,15 to 24 years,Unemployment rate,11.7,Percent
2023,NB,Total,15 to 64 years,Employment,369.5,Persons in thousands
2023,NB,Total,15 to 64 years,Employment rate,73.2,Percent
2023,NB,Total,15 to 64 years,Full-time employment,321.4,Persons in thousands
2023,NB,Total,15 to 64 years,Labour force,395.0,Persons in thousands
2023,NB,Total,15 to 64 years,Not in labour force,110.0,Persons in thousands
2023,NB,Total,15 to 64 years,Part-time employment,48.1,Persons in thousands
2023,NB,Total,15 to 64 years,Participation rate,78.2,Percent
2023,NB,Total,15 to 64 years,Population,505.0,Persons in thousands
2023,NB,Total,15 to 64 years,Proportion employed full-time,87.0,Percent
2023,NB,Total,15 to 64 years,Proportion employed part-time,13.0,Percent
2023,NB,Total,15 to 64 years,Unemployment,25.4,Persons in thousands
2023,NB,Total,15 to 64 years,Unemployment rate,6.4,Percent
2023,NB,Total,15 years and over,Employment,388.6,Persons in thousands
2023,NB,Total,15 years and over,Employment rate,56.4,Percent
2023,NB,Total,15 years and over,Full-time employment,332.7,Persons in thousands
2023,NB,Total,15 years and over,Labour force,415.9,Persons in thousands
2023,NB,Total,15 years and over,Not in labour force,272.8,Persons in thousands
2023,NB,Total,15 years and over,Part-time employment,55.9,Persons in thousands
2023,NB,Total,15 years and over,Participation rate,60.4,Percent
2023,NB,Total,15 years and over,Population,688.7,Persons in thousands
2023,NB,Total,15 years and over,Proportion employed full-time,85.6,Percent
2023,NB,Total,15 years and over,Proportion employed part-time,14.4,Percent
2023,NB,Total,15 years and over,Unemployment,27.3,Persons in thousands
2023,NB,Total,15 years and over,Unemployment rate,6.6,Percent
2023,NB,Total,25 to 54 years,Employment,247.5,Persons in thousands
2023,NB,Total,25 to 54 years,Employment rate,83.4,Percent
2023,NB,Total,25 to 54 years,Full-time employment,228.2,Persons in thousands
2023,NB,Total,25 to 54 years,Labour force,260.9,Persons in thousands
2023,NB,Total,25 to 54 years,Not in labour force,35.7,Persons in thousands
2023,NB,Total,25 to 54 years,Part-time employment,19.3,Persons in thousands
2023,NB,Total,25 to 54 years,Participation rate,88.0,Percent
2023,NB,Total,25 to 54 years,Population,296.6,Persons in thousands
2023,NB,Total,25 to 54 years,Proportion employed full-time,92.2,Percent
2023,NB,Total,25 to 54 years,Proportion employed part-time,7.8,Percent
2023,NB,Total,25 to 54 years,Unemployment,13.4,Persons in thousands
2023,NB,Total,25 to 54 years,Unemployment rate,5.1,Percent
2023,NL,Total,15 to 24 years,Employment,28.7,Persons in thousands
2023,NL,Total,15 to 24 years,Employment rate,51.7,Percent
2023,NL,Total,15 to 24 years,Full-time employment,14.9,Persons in thousands
2023,NL,Total,15 to 24 years,Labour force,33.6,Persons in thousands
2023,NL,Total,15 to 24 years,Not in labour force,21.9,Persons in thousands
2023,NL,Total,15 to 24 years,Part-time employment,13.8,Persons in thousands
2023,NL,Total,15 to 24 years,Participation rate,60.5,Percent
2023,NL,Total,15 to 24 years,Population,55.5,Persons in thousands
2023,NL,Total,15 to 24 years,Proportion employed full-time,51.9,Percent
2023,NL,Total,15 to 24 years,Proportion employed part-time,48.1,Percent
2023,NL,Total,15 to 24 years,Unemployment,4.9,Persons in thousands
2023,NL,Total,15 to 24 years,Unemployment rate,14.6,Percent
2023,NL,Total,15 to 64 years,Employment,225.3,Persons in thousands
2023,NL,Total,15 to 64 years,Employment rate,67.7,Percent
2023,NL,Total,15 to 64 years,Full-time employment,193.1,Persons in thousands
2023,NL,Total,15 to 64 years,Labour force,250.0,Persons in thousands
2023,NL,Total,15 to 64 years,Not in labour force,82.6,Persons in thousands
2023,NL,Total,15 to 64 years,Part-time employment,32.2,Persons in thousands
2023,NL,Total,15 to 64 years,Participation rate,75.2,Percent
2023,NL,Total,15 to 64 years,Population,332.6,Persons in thousands
2023,NL,Total,15 to 64 years,Proportion employed full-time,85.7,Percent
2023,NL,Total,15 to 64 years,Proportion employed part-time,14.3,Percent
2023,NL,Total,15 to 64 years,Unemployment,24.7,Persons in thousands
2023,NL,Total,15 to 64 years,Unemployment rate,9.9,Percent
2023,NL,Total,15 years and over,Employment,238.3,Persons in thousands
2023,NL,Total,15 years and over,Employment rate,51.8,Percent
2023,NL,Total,15 years and over,Full-time employment,201.3,Persons in thousands
2023,NL,Total,15 years and over,Labour force,264.6,Persons in thousands
2023,NL,Total,15 years and over,Not in labour force,195.1,Persons in thousands
2023,NL,Total,15 years and over,Part-time employment,37.0,Persons in thousands
2023,NL,Total,15 years and over,Participation rate,57.6,Percent
2023,NL,Total,15 years and over,Population,459.7,Persons in thousands
2023,NL,Total,15 years and over,Proportion employed full-time,84.5,Percent
2023,NL,Total,15 years and over,Proportion employed part-time,15.5,Percent
2023,NL,Total,15 years and over,Unemployment,26.3,Persons in thousands
2023,NL,Total,15 years and over,Unemployment rate,9.9,Percent
2023,NL,Total,25 to 54 years,Employment,152.7,Persons in thousands
2023,NL,Total,25 to 54 years,Employment rate,79.6,Percent
2023,NL,Total,25 to 54 years,Full-time employment,139.5,Persons in thousands
2023,NL,Total,25 to 54 years,Labour force,165.7,Persons in thousands
2023,NL,Total,25 to 54 years,Not in labour force,26.1,Persons in thousands
2023,NL,Total,25 to 54 years,Part-time employment,13.2,Persons in thousands
2023,NL,Total,25 to 54 years,Participation rate,86.4,Percent
2023,NL,Total,25 to 54 years,Population,191.8,Persons in thousands
2023,NL,Total,25 to 54 years,Proportion employed full-time,91.4,Percent
2023,NL,Total,25 to 54 years,Proportion employed part-time,8.6,Percent
2023,NL,Total,25 to 54 years,Unemployment,13.0,Persons in thousands
2023,NL,Total,25 to 54 years,Unemployment rate,7.8,Percent
2023,NS,Total,15 to 24 years,Employment,66.2,Persons in thousands
2023,NS,Total,15 to 24 years,Employment rate,58.3,Percent
2023,NS,Total,15 to 24 years,Full-time employment,36.6,Persons in thousands
2023,NS,Total,15 to 24 years,Labour force,75.2,Persons in thousands
2023,NS,Total,15 to 24 years,Not in labour force,38.4,Persons in thousands
2023,NS,Total,15 to 24 years,Part-time employment,29.5,Persons in thousands
2023,NS,Total,15 to 24 years,Participation rate,66.2,Percent
2023,NS,Total,15 to 24 years,Population,113.6,Persons in thousands
2023,NS,Total,15 to 24 years,Proportion employed full-time,55.3,Percent
2023,NS,Total,15 to 24 years,Proportion employed part-time,44.6,Percent
2023,NS,Total,15 to 24 years,Unemployment,9.0,Persons in thousands
2023,NS,Total,15 to 24 years,Unemployment rate,12.0,Percent
2023,NS,Total,15 to 64 years,Employment,476.7,Persons in thousands
2023,NS,Total,15 to 64 years,Employment rate,73.1,Percent
2023,NS,Total,15 to 64 years,Full-time employment,400.4,Persons in thousands
2023,NS,Total,15 to 64 years,Labour force,509.1,Persons in thousands
2023,NS,Total,15 to 64 years,Not in labour force,143.1,Persons in thousands
2023,NS,Total,15 to 64 years,Part-time employment,76.3,Persons in thousands
2023,NS,Total,15 to 64 years,Participation rate,78.1,Percent
2023,NS,Total,15 to 64 years,Population,652.2,Persons in thousands
2023,NS,Total,15 to 64 years,Proportion employed full-time,84.0,Percent
2023,NS,Total,15 to 64 years,Proportion employed part-time,16.0,Percent
2023,NS,Total,15 to 64 years,Unemployment,32.4,Persons in thousands
2023,NS,Total,15 to 64 years,Unemployment rate,6.4,Percent
2023,NS,Total,15 years and over,Employment,505.3,Persons in thousands
2023,NS,Total,15 years and over,Employment rate,57.6,Percent
2023,NS,Total,15 years and over,Full-time employment,416.5,Persons in thousands
2023,NS,Total,15 years and over,Labour force,539.6,Persons in thousands
2023,NS,Total,15 years and over,Not in labour force,337.2,Persons in thousands
2023,NS,Total,15 years and over,Part-time employment,88.8,Persons in thousands
2023,NS,Total,15 years and over,Participation rate,61.5,Percent
2023,NS,Total,15 years and over,Population,876.8,Persons in thousands
2023,NS,Total,15 years and over,Proportion employed full-time,82.4,Percent
2023,NS,Total,15 years and over,Proportion employed part-time,17.6,Percent
2023,NS,Total,15 years and over,Unemployment,34.3,Persons in thousands
2023,NS,Total,15 years and over,Unemployment rate,6.4,Percent
2023,NS,Total,25 to 54 years,Employment,322.2,Persons in thousands
2023,NS,Total,25 to 54 years,Employment rate,83.2,Percent
2023,NS,Total,25 to 54 years,Full-time employment,290.3,Persons in thousands
2023,NS,Total,25 to 54 years,Labour force,340.0,Persons in thousands
2023,NS,Total,25 to 54 years,Not in labour force,47.5,Persons in thousands
2023,NS,Total,25 to 54 years,Part-time employment,31.9,Persons in thousands
2023,NS,Total,25 to 54 years,Participation rate,87.8,Percent
2023,NS,Total,25 to 54 years,Population,387.4,Persons in thousands
2023,NS,Total,25 to 54 years,Proportion employed full-time,90.1,Percent
2023,NS,Total,25 to 54 years,Proportion employed part-time,9.9,Percent
2023,NS,Total,25 to 54 years,Unemployment,17.7,Persons in thousands
2023,NS,Total,25 to 54 years,Unemployment rate,5.2,Percent
2023,ON,Total,15 to 24 years,Employment,1035.0,Persons in thousands
2023,ON,Total,15 to 24 years,Employment rate,54.5,Percent
2023,ON,Total,15 to 24 years,Full-time employment,527.6,Persons in thousands
2023,ON,Total,15 to 24 years,Labour force,1182.2,Persons in thousands
2023,ON,Total,15 to 24 years,Not in labour force,718.0,Persons in thousands
2023,ON,Total,15 to 24 years,Part-time employment,507.4,Persons in thousands
2023,ON,Total,15 to 24 years,Participation rate,62.2,Percent
2023,ON,Total,15 to 24 years,Population,1900.2,Persons in thousands
2023,ON,Total,15 to 24 years,Proportion employed full-time,51.0,Percent
2023,ON,Total,15 to 24 years,Proportion employed part-time,49.0,Percent
2023,ON,Total,15 to 24 years,Unemployment,147.2,Persons in thousands
2023,ON,Total,15 to 24 years,Unemployment rate,12.5,Percent
2023,ON,Total,15 to 64 years,Employment,7597.6,Persons in thousands
2023,ON,Total,15 to 64 years,Employment rate,74.8,Percent
2023,ON,Total,15 to 64 years,Full-time employment,6380.6,Persons in thousands
2023,ON,Total,15 to 64 years,Labour force,8060.6,Persons in thousands
2023,ON,Total,15 to 64 years,Not in labour force,2096.1,Persons in thousands
2023,ON,Total,15 to 64 years,Part-time employment,1217.0,Persons in thousands
2023,ON,Total,15 to 64 years,Participation rate,79.4,Percent
2023,ON,Total,15 to 64 years,Population,10156.7,Persons in thousands
2023,ON,Total,15 to 64 years,Proportion employed full-time,84.0,Percent
2023,ON,Total,15 to 64 years,Proportion employed part-time,16.0,Percent
2023,ON,Total,15 to 64 years,Unemployment,463.0,Persons in thousands
2023,ON,Total,15 to 64 years,Unemployment rate,5.7,Percent
